name	filename	type	projectName	description	tagList	captionList	groupList	projectURL
Installation Detail	A_Consequence-IMG_9378.jpg	image	A Consequence of Infinitely Discursive Vision Technologies	Wide perspective of projection.	"[""installation"",""electronicart"",""artinstallation"",""installationart"",""mixedmedia"",""videoart"",""neon"",""creativecoding"",""processing"",""mediaart"",""digitalart""]"	"[""Completed 2014\n\nInstalled @ Fridman Gallery\n\nMaterials: Neon, 3 channel Video w/ Audio, Projectors, Flatscreen TV, Media Players, Wire, Audio Amplifier, Speakers\n\nThe history of the landscape within art touches upon notions of identity, scale, location, and temporality. There is a timelessness about the topic of landscapes and their representation in various media throughout the arts. This work operates within the space of luminescent media technologies, addressing the mediation and re-presentation of environmental modes of being as present within various contemporary landscapes.""]"	"[""A Consequence of Infinitely Discursive Vision Technologies""]"	https://phillipstearns.com/artwork#/consequence/
Installation View	AANN-_MG_1867.jpg	image	Artificial Analog Neural Network	Right side with slight perspective.	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at Devotion Gallery 2010\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@Devotion""]"	
Detail	AANN-_MG_1870.jpg	image	Artificial Analog Neural Network	"Extreme close-up of ""ear"" on right side."	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at Devotion Gallery 2010\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@Devotion""]"	
Detail	AANN-_MG_1871.jpg	image	Artificial Analog Neural Network	Close-up of speakers on right side.	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at Devotion Gallery 2010\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@Devotion""]"	
Installation View	AANN-_MG_1874.jpg	image	Artificial Analog Neural Network	Wide perspective showing wiring and power supply.	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at Devotion Gallery 2010\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@Devotion""]"	
Detail	AANN-_MG_1875.jpg	image	Artificial Analog Neural Network	"Close-up of the ""eye""."	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at Devotion Gallery 2010\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@Devotion""]"	
Detail	AANN-_MG_1876.jpg	image	Artificial Analog Neural Network	Perspective close-up from front right.	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at Devotion Gallery 2010\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@Devotion""]"	
Detail	AANN-_MG_1878.jpg	image	Artificial Analog Neural Network	"Extreme close-up of a single ""neuron""."	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at Devotion Gallery 2010\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@Devotion""]"	
Detail	AANN-014.jpg	image	Artificial Analog Neural Network	"Close-up of left ""ear""."	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at the Torrance Art Museum 2009\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@TAM""]"	
Detail	AANN-015.jpg	image	Artificial Analog Neural Network	Close-up of left side.	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at the Torrance Art Museum 2009\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@TAM""]"	
Installation View	AANN-DSCN1412.jpg	image	Artificial Analog Neural Network	Left side with slight perspective.	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at NIME 2009 @ Carnegie Mellon University\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@NIME""]"	
Installation View	AANN-DSCN1413.jpg	image	Artificial Analog Neural Network	Left side.	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at NIME 2009 @ Carnegie Mellon University\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@NIME""]"	
Installation View	AANN-DSCN1416.jpg	image	Artificial Analog Neural Network	"Perspective view of the ""eye"" from the left."	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at NIME 2009 @ Carnegie Mellon University\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@NIME""]"	
Installation View	AANN-soundwalk2007-08.jpg	image	Artificial Analog Neural Network	Gallery visitors in background.	"[""AANN"",""analogneuralnetwork"",""neuralnetwork"",""electronics"",""electronicsculpture"",""sculpture"",""electronicart"",""analog"",""interactive"",""interactiveart"",""science"",""artandscience""]"	"[""2007\n\nDeveloped while in residence at STEIM\n\nInstalled at Soundwalk 2007\n\nAn interactive electronic sculpture composed of several circuits modeling the electro-chemical behavior of neurons fashioned into a multi-layer network. Responsive to light and sound.""]"	"[""AANN"",""AANN@Soundwalk""]"	
Rig	Autopoeisis-01.jpg	image	Autopoiesis	Performance rig used for the recordings.	"[""nimb"",""noinput"",""audio"",""audiogear"",""feedback"",""mixerfeedback"",""noise"",""harshnoise""]"	"[""Recorded in 2006 during graduate studies in music composition at Cal Arts.""]"	"[""Autopoiesis""]"	
Rack	Autopoeisis-02.jpg	image	Autopoiesis	Close-up of effects rack.	"[""nimb"",""noinput"",""audio"",""audiogear"",""feedback"",""mixerfeedback"",""noise"",""harshnoise""]"	"[""Recorded in 2006 during graduate studies in music composition at Cal Arts.""]"	"[""Autopoiesis""]"	
Pedals	Autopoeisis-03.jpg	image	Autopoiesis	Extreme close-up of guitar pedals.	"[""nimb"",""noinput"",""audio"",""audiogear"",""feedback"",""mixerfeedback"",""noise"",""harshnoise""]"	"[""Recorded in 2006 during graduate studies in music composition at Cal Arts.""]"	"[""Autopoiesis""]"	
Gallery View	BIAN_Diagonale_2017.jpg	image	ADC/DAC @ BIAN 2016	View of installed works from rear of the gallery.	"[""art"",""exhibition"",""BIAN"",""BIAN2016"",""diagonale"",""textileart"",""digitalart"",""mediaart"",""soloshow""]"	"[""Curated By Nathalie Bachand et Chloé Grondeau\n\nInstallation View: Vestigial Data (2015), Smooth && || Striated (2015), Untitled Neon Composition (2016), A Consequence of Infinitely Discursive Vision Technologies (2014)""]"	"[""ADC/DAC @ BIAN 2016""]"	http://www.artdiagonale.org/20152016.html
Installation Detail	BIAN_Diagonale-AConsequence_BIAN2016_Wide.jpg	image	ADC/DAC @ BIAN 2016	A Consequence of Infinitely Discursive Vision Technologies.	"[""art"",""exhibition"",""BIAN"",""BIAN2016"",""diagonale"",""textileart"",""digitalart"",""mediaart"",""soloshow""]"	"[""Curated By Nathalie Bachand et Chloé Grondeau\n\nInstallation View: A Consequence of Infinitely Discursive Vision Technologies (2014)""]"	"[""ADC/DAC @ BIAN 2016""]"	http://www.artdiagonale.org/20152016.html
Installation Detail	BIAN_Diagonale-AConsequence_BIAN2016.jpg	image	ADC/DAC @ BIAN 2016	Projection and neon.	"[""art"",""exhibition"",""BIAN"",""BIAN2016"",""diagonale"",""textileart"",""digitalart"",""mediaart"",""soloshow""]"	"[""Curated By Nathalie Bachand et Chloé Grondeau\n\nInstallation View Detail: A Consequence of Infinitely Discursive Vision Technologies (2014)""]"	"[""ADC/DAC @ BIAN 2016""]"	http://www.artdiagonale.org/20152016.html
Installation Detail	BIAN_Diagonale-SmoothStriated_BIAN2016.jpg	image	ADC/DAC @ BIAN 2016	Untitled neon sculpture and Smooth $$ || Striated woven panels.	"[""art"",""exhibition"",""BIAN"",""BIAN2016"",""diagonale"",""textileart"",""digitalart"",""mediaart"",""soloshow""]"	"[""Curated By Nathalie Bachand et Chloé Grondeau\n\nInstallation View: Smooth && || Striated (2015), Untitled Neon Composition (2016)""]"	"[""ADC/DAC @ BIAN 2016""]"	http://www.artdiagonale.org/20152016.html
ADC/DAC	BIAN_Diagonale-VestigialData_BIAN2017.jpg	image	ADC/DAC @ BIAN 2016	Vestigial Data tapestries.	"[""art"",""exhibition"",""BIAN"",""BIAN2016"",""diagonale"",""textileart"",""digitalart"",""mediaart"",""soloshow""]"	"[""Curated By Nathalie Bachand et Chloé Grondeau\n\nInstallation View: Vestigial Data (2015)""]"	"[""ADC/DAC @ BIAN 2016""]"	http://www.artdiagonale.org/20152016.html
As The Sun Sets	compositions-asthesunsets.jpg	image	Typewriter Compositions	For pitched instrument and voice.	"[""sheetmusic"",""composition"",""music"",""musiccomposition"",""graphicnotation"",""graphicscore"",""textscore""]"	"[""Completed in 2006 during graduate studies in music composition at Cal Arts.""]"	"[""Compositions""]"	
Dial Tone	compositions-dialtone.jpg	image	Typewriter Compositions	For pitched instrument and voice.	"[""sheetmusic"",""composition"",""music"",""musiccomposition"",""graphicnotation"",""graphicscore"",""textscore""]"	"[""Completed in 2006 during graduate studies in music composition at Cal Arts.""]"	"[""Compositions""]"	
Empty Stomachs	compositions-emptystomachs.jpg	image	Typewriter Compositions	For pitched instrument and voice.	"[""sheetmusic"",""composition"",""music"",""musiccomposition"",""graphicnotation"",""graphicscore"",""textscore""]"	"[""Completed in 2006 during graduate studies in music composition at Cal Arts.""]"	"[""Compositions""]"	
Waiting for Snow	compositions-waitingforsnow.jpg	image	Typewriter Compositions	For pitched instrument and voice.	"[""sheetmusic"",""composition"",""music"",""musiccomposition"",""graphicnotation"",""graphicscore"",""textscore""]"	"[""Completed in 2006 during graduate studies in music composition at Cal Arts.""]"	"[""Compositions""]"	
Frame 00100598	CoplanarNations-Israel_Palestine_00100598.jpg	image	Coplanar Nations: Israel & Palestine	Animation still.	"[""ceasefirenow"",""ceasefire"",""israel"",""palestine"",""zfighting"",""glitchart"",""videostill"",""videoart"",""algorithmicart"",""creativecoding""]"	"[""Images of the flags of Israel and Palestine are mapped onto two flattened polygons occupying the same coordinates in a virtual 3D space. The patterns that emerge are a result of the two flags fighting for dominance in the rendering engine in what is called z-fighting.""]"	"[""Coplanar Nations: Israel & Palestine""]"	
Frame 00100610	CoplanarNations-Israel_Palestine_00100610.jpg	image	Coplanar Nations: Israel & Palestine	Animation still.	"[""ceasefirenow"",""ceasefire"",""israel"",""palestine"",""zfighting"",""glitchart"",""videostill"",""videoart"",""algorithmicart"",""creativecoding""]"	"[""Images of the flags of Israel and Palestine are mapped onto two flattened polygons occupying the same coordinates in a virtual 3D space. The patterns that emerge are a result of the two flags fighting for dominance in the rendering engine in what is called z-fighting.""]"	"[""Coplanar Nations: Israel & Palestine""]"	
Frame 00100642	CoplanarNations-Israel_Palestine_00100642.jpg	image	Coplanar Nations: Israel & Palestine	Animation still.	"[""ceasefirenow"",""ceasefire"",""israel"",""palestine"",""zfighting"",""glitchart"",""videostill"",""videoart"",""algorithmicart"",""creativecoding""]"	"[""Images of the flags of Israel and Palestine are mapped onto two flattened polygons occupying the same coordinates in a virtual 3D space. The patterns that emerge are a result of the two flags fighting for dominance in the rendering engine in what is called z-fighting.""]"	"[""Coplanar Nations: Israel & Palestine""]"	
Frame 00101403	CoplanarNations-Israel_Palestine_00101403.jpg	image	Coplanar Nations: Israel & Palestine	Animation still.	"[""ceasefirenow"",""ceasefire"",""israel"",""palestine"",""zfighting"",""glitchart"",""videostill"",""videoart"",""algorithmicart"",""creativecoding""]"	"[""Images of the flags of Israel and Palestine are mapped onto two flattened polygons occupying the same coordinates in a virtual 3D space. The patterns that emerge are a result of the two flags fighting for dominance in the rendering engine in what is called z-fighting.""]"	"[""Coplanar Nations: Israel & Palestine""]"	
Frame 00101594	CoplanarNations-Israel_Palestine_00101594.jpg	image	Coplanar Nations: Israel & Palestine	Animation still.	"[""ceasefirenow"",""ceasefire"",""israel"",""palestine"",""zfighting"",""glitchart"",""videostill"",""videoart"",""algorithmicart"",""creativecoding""]"	"[""Images of the flags of Israel and Palestine are mapped onto two flattened polygons occupying the same coordinates in a virtual 3D space. The patterns that emerge are a result of the two flags fighting for dominance in the rendering engine in what is called z-fighting.""]"	"[""Coplanar Nations: Israel & Palestine""]"	
Ambient Environments: WindowsXP	deFINEArt_LinearAbstraction_Winter2015_MN_18.jpg	image	Linear Abstraction @ de FINE Art - SCAD Winter 2015	Installation view.	"[""exhibition"",""groupshow"",""linearabstraction"",""digital"",""animation"",""creativecoding"",""algorithmicart"",""generativeart"",""glitchart"",""palestine"",""israel"",""zfighting""]"	"[""\""The video installations by Phillip Stearns are the final diverse elements in the exhibition. His Coplanar Nations: Israel & Palestine is the only overtly political piece in the show. The video is a hypnotic overlap of moving and flying geometric shapes laced with static, in the colors of those two country’s flags: blue, white, black, green, and red. Stearns’s work brings the exhibition full-circle, resonating with themes that are explored by the artists throughout the gallery: technology, deconstruction, engagement, tools, materials, reality, virtual reality.\"" -- Caroline Stover""]"	"[""Linear Abstraction @ SCAD""]"	https://vimeo.com/79921343
Coplanar Nations: Israel & Palestine	deFINEArt_LinearAbstraction_Winter2015_MN_19.jpg	image	Linear Abstraction @ de FINE Art - SCAD Winter 2015	Installation view.	"[""exhibition"",""groupshow"",""linearabstraction"",""digital"",""animation"",""creativecoding"",""algorithmicart"",""generativeart"",""glitchart"",""palestine"",""israel"",""zfighting""]"	"[""\""The video installations by Phillip Stearns are the final diverse elements in the exhibition. His Coplanar Nations: Israel & Palestine is the only overtly political piece in the show. The video is a hypnotic overlap of moving and flying geometric shapes laced with static, in the colors of those two country’s flags: blue, white, black, green, and red. Stearns’s work brings the exhibition full-circle, resonating with themes that are explored by the artists throughout the gallery: technology, deconstruction, engagement, tools, materials, reality, virtual reality.\"" -- Caroline Stover""]"	"[""Linear Abstraction @ SCAD""]"	https://burnaway.org/daily/linear-abstraction-21st-century-scad-savannah/
Installation view.	deFINEArt_LinearAbstraction_Winter2015_MN_20.jpg	image	Linear Abstraction @ de FINE Art - SCAD Winter 2015	Ambient Environments: WindowsXP and Coplanar Nations: Russia & Ukraine	"[""exhibition"",""groupshow"",""linearabstraction"",""digital"",""animation"",""creativecoding"",""algorithmicart"",""generativeart"",""glitchart"",""palestine"",""israel"",""zfighting""]"	"[""\""The video installations by Phillip Stearns are the final diverse elements in the exhibition. His Coplanar Nations: Israel & Palestine is the only overtly political piece in the show. The video is a hypnotic overlap of moving and flying geometric shapes laced with static, in the colors of those two country’s flags: blue, white, black, green, and red. Stearns’s work brings the exhibition full-circle, resonating with themes that are explored by the artists throughout the gallery: technology, deconstruction, engagement, tools, materials, reality, virtual reality.\"" -- Caroline Stover""]"	"[""Linear Abstraction @ SCAD""]"	https://burnaway.org/daily/linear-abstraction-21st-century-scad-savannah/
Coplanar Nations: Israel & Palestine	deFINEArt_LinearAbstraction_Winter2015_MN_22.jpg	image	Linear Abstraction @ de FINE Art - SCAD Winter 2015	Installation view.	"[""exhibition"",""groupshow"",""linearabstraction"",""digital"",""animation"",""creativecoding"",""algorithmicart"",""generativeart"",""glitchart"",""palestine"",""israel"",""zfighting""]"	"[""\""The video installations by Phillip Stearns are the final diverse elements in the exhibition. His Coplanar Nations: Israel & Palestine is the only overtly political piece in the show. The video is a hypnotic overlap of moving and flying geometric shapes laced with static, in the colors of those two country’s flags: blue, white, black, green, and red. Stearns’s work brings the exhibition full-circle, resonating with themes that are explored by the artists throughout the gallery: technology, deconstruction, engagement, tools, materials, reality, virtual reality.\"" -- Caroline Stover""]"	"[""Linear Abstraction @ SCAD""]"	https://burnaway.org/daily/linear-abstraction-21st-century-scad-savannah/
Detail	Deluge-IMG_1670.JPG	image	Deluge	Perspective close-up of speakers.	"[""electronicart"",""soundart"",""lightart"",""sculpturalelectronics"",""sculpture"",""electronicsculpture"",""whitenoise"",""noise""]"	"[""A sculptural electronic installation that translates reverberations from the big bang into light and sound."",""As digital technologies become more adept at reducing interference and noise through omission and censorship, we are quickly losing touch with unmediated white noise, that static hush in between the stations, and playground for the imagination."",""Many antenna like structures, LED strands are clustered together, each representing the activity of the broadband white noise being picked up by simple transistor receivers. From these discrete elements, a cloud of lights is formed, filling the space with a form activated by the absence of pre-determined content.""]"	"[""Deluge""]"	https://phillipstearns.wordpress.com/projects/deluge/
Detail	Deluge-IMG_1673.JPG	image	Deluge	Close-up of speakers.	"[""electronicart"",""soundart"",""lightart"",""sculpturalelectronics"",""sculpture"",""electronicsculpture"",""whitenoise"",""noise""]"	"[""A sculptural electronic installation that translates reverberations from the big bang into light and sound."",""As digital technologies become more adept at reducing interference and noise through omission and censorship, we are quickly losing touch with unmediated white noise, that static hush in between the stations, and playground for the imagination."",""Many antenna like structures, LED strands are clustered together, each representing the activity of the broadband white noise being picked up by simple transistor receivers. From these discrete elements, a cloud of lights is formed, filling the space with a form activated by the absence of pre-determined content.""]"	"[""Deluge""]"	https://phillipstearns.wordpress.com/projects/deluge/
Detail	Deluge-IMG_1675.JPG	image	Deluge	Detail of electronics.	"[""electronicart"",""soundart"",""lightart"",""sculpturalelectronics"",""sculpture"",""electronicsculpture"",""whitenoise"",""noise""]"	"[""A sculptural electronic installation that translates reverberations from the big bang into light and sound."",""As digital technologies become more adept at reducing interference and noise through omission and censorship, we are quickly losing touch with unmediated white noise, that static hush in between the stations, and playground for the imagination."",""Many antenna like structures, LED strands are clustered together, each representing the activity of the broadband white noise being picked up by simple transistor receivers. From these discrete elements, a cloud of lights is formed, filling the space with a form activated by the absence of pre-determined content.""]"	"[""Deluge""]"	https://phillipstearns.wordpress.com/projects/deluge/
